country,year,age_band,emp_pop_ratio
ETH,2005,15-19,0.6783
ETH,2005,20-24,0.7941
ETH,2005,25-29,0.8474
ETH,2005,30-34,0.8821
ETH,2005,35-39,0.8748
ETH,2005,40-44,0.8996
ETH,2005,45-49,0.8884
ETH,2005,50-54,0.8533
ETH,2005,55-59,0.8379
ETH,2005,60-64,0.7747
ETH,2005,65+,0.5893
ETH,2021,15-19,0.4419
ETH,2021,20-24,0.5987
ETH,2021,25-29,0.7274
ETH,2021,30-34,0.7807
ETH,2021,35-39,0.7932
ETH,2021,40-44,0.7937
ETH,2021,45-49,0.807
ETH,2021,50-54,0.7305
ETH,2021,55-59,0.7228
ETH,2021,60-64,0.6219
ETH,2021,65+,0.4456
US,2006,15-19,0.3695
US,2006,20-24,0.6848
US,2006,25-29,0.7864
US,2006,30-34,0.7968
US,2006,35-39,0.806
US,2006,40-44,0.811
US,2006,45-49,0.8068
US,2006,50-54,0.7793
US,2006,55-59,0.6983
US,2006,60-64,0.5103
US,2006,65+,0.1495
US,2021,15-19,0.3201
US,2021,20-24,0.6444
US,2021,25-29,0.7654
US,2021,30-34,0.7798
US,2021,35-39,0.7826
US,2021,40-44,0.7821
US,2021,45-49,0.7882
US,2021,50-54,0.7588
US,2021,55-59,0.6912
US,2021,60-64,0.547
US,2021,65+,0.1802
