country,year,age,labor_income
ETH,2005,0,0.0
ETH,2005,1,0.0
ETH,2005,2,0.01
ETH,2005,3,0.07
ETH,2005,4,0.36
ETH,2005,5,1.5
ETH,2005,6,5.06
ETH,2005,7,13.99
ETH,2005,8,32.55
ETH,2005,9,65.31
ETH,2005,10,114.94
ETH,2005,11,180.04
ETH,2005,12,255.78
ETH,2005,13,338.43
ETH,2005,14,427.71
ETH,2005,15,524.35
ETH,2005,16,627.38
ETH,2005,17,734.52
ETH,2005,18,845.73
ETH,2005,19,967.32
ETH,2005,20,1111.88
ETH,2005,21,1290.08
ETH,2005,22,1497.32
ETH,2005,23,1709.84
ETH,2005,24,1904.52
ETH,2005,25,2079.39
ETH,2005,26,2243.77
ETH,2005,27,2396.32
ETH,2005,28,2523.22
ETH,2005,29,2618.81
ETH,2005,30,2700.63
ETH,2005,31,2800.7
ETH,2005,32,2943.25
ETH,2005,33,3118.92
ETH,2005,34,3282.78
ETH,2005,35,3396.86
ETH,2005,36,3454.33
ETH,2005,37,3464.55
ETH,2005,38,3445.56
ETH,2005,39,3423.6
ETH,2005,40,3420.51
ETH,2005,41,3439.78
ETH,2005,42,3460.2
ETH,2005,43,3446.36
ETH,2005,44,3389.68
ETH,2005,45,3321.7
ETH,2005,46,3265.98
ETH,2005,47,3208.27
ETH,2005,48,3121.3
ETH,2005,49,3014.9
ETH,2005,50,2932.44
ETH,2005,51,2894.79
ETH,2005,52,2869.9
ETH,2005,53,2793.56
ETH,2005,54,2643.27
ETH,2005,55,2463.84
ETH,2005,56,2292.22
ETH,2005,57,2123.28
ETH,2005,58,1951.73
ETH,2005,59,1799.91
ETH,2005,60,1684.82
ETH,2005,61,1597.92
ETH,2005,62,1524.26
ETH,2005,63,1457.74
ETH,2005,64,1397.52
ETH,2005,65,1336.48
ETH,2005,66,1261.01
ETH,2005,67,1162.91
ETH,2005,68,1053.21
ETH,2005,69,957.86
ETH,2005,70,893.03
ETH,2005,71,857.21
ETH,2005,72,841.5
ETH,2005,73,835.16
ETH,2005,74,825.41
ETH,2005,75,799.21
ETH,2005,76,746.09
ETH,2005,77,664.09
ETH,2005,78,571.71
ETH,2005,79,499.35
ETH,2005,80,457.77
ETH,2005,81,436.16
ETH,2005,82,419.36
ETH,2005,83,396.54
ETH,2005,84,366.84
ETH,2005,85,338.29
US,2006,0,0.0
US,2006,1,0.0
US,2006,2,0.0
US,2006,3,0.0
US,2006,4,0.0
US,2006,5,0.0
US,2006,6,0.0
US,2006,7,0.0
US,2006,8,0.0
US,2006,9,0.0
US,2006,10,0.0
US,2006,11,0.0
US,2006,12,0.0
US,2006,13,0.0
US,2006,14,0.0
US,2006,15,0.0
US,2006,16,1109.21
US,2006,17,3148.84
US,2006,18,5410.35
US,2006,19,7974.46
US,2006,20,10838.78
US,2006,21,14059.99
US,2006,22,17405.65
US,2006,23,20882.71
US,2006,24,24360.27
US,2006,25,27780.17
US,2006,26,30684.61
US,2006,27,33383.79
US,2006,28,35698.41
US,2006,29,37782.1
US,2006,30,39604.93
US,2006,31,41570.63
US,2006,32,43415.77
US,2006,33,45390.59
US,2006,34,47147.96
US,2006,35,48868.52
US,2006,36,50244.81
US,2006,37,51421.28
US,2006,38,52171.45
US,2006,39,52832.92
US,2006,40,53389.68
US,2006,41,53926.06
US,2006,42,54478.38
US,2006,43,55209.39
US,2006,44,55979.03
US,2006,45,56669.64
US,2006,46,57341.35
US,2006,47,57764.17
US,2006,48,57937.67
US,2006,49,57925.34
US,2006,50,57605.24
US,2006,51,57072.94
US,2006,52,56335.43
US,2006,53,55575.1
US,2006,54,54537.88
US,2006,55,53418.1
US,2006,56,52038.26
US,2006,57,50736.46
US,2006,58,48963.76
US,2006,59,46921.27
US,2006,60,44234.4
US,2006,61,41263.37
US,2006,62,37506.89
US,2006,63,33419.06
US,2006,64,29210.91
US,2006,65,25224.37
US,2006,66,21387.13
US,2006,67,18148.82
US,2006,68,15357.01
US,2006,69,13095.58
US,2006,70,11315.64
US,2006,71,9999.39
US,2006,72,8996.62
US,2006,73,8316.48
US,2006,74,7597.27
US,2006,75,6815.02
US,2006,76,5968.32
US,2006,77,5181.48
US,2006,78,4394.43
US,2006,79,3756.47
US,2006,80,3291.46
US,2006,81,2930.97
US,2006,82,2553.35
US,2006,83,2191.1
US,2006,84,1788.14
US,2006,85,1378.98
US,2006,86,1052.65
US,2006,87,801.22
US,2006,88,666.68
US,2006,89,593.27
US,2006,90,519.87
